OS,Ano,Data,CHN,P_Resina,K_P_Mehlich,pH_H2O,pH_CaCl2,Macro,Micro,S_ICP,MO,Textura,S_Turbidimetria
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,X,X,X,X,,,
183,2026,2026-05-06,,,X,,,,,,,X,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,X,X,X,X,X,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,X,X,X,X,,,
183,2026,2026-05-06,,,X,,,,,,,X,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,X,X,X,X,X,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,X,X,X,X,,,
183,2026,2026-05-06,,,X,,,,,,,X,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,X,X,X,X,X,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,X,X,X,X,,,
183,2026,2026-05-06,,,X,,,,,,,X,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,X,X,X,X,X,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,X,X,X,X,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,X,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
183,2026,2026-05-06,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,X,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,X,
192,2026,2026-05-05,,,,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,,
192,2026,2026-05-05,,,,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,X,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,,
192,2026,2026-05-05,,,,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,X,
192,2026,2026-05-05,,,,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,,
192,2026,2026-05-05,,,,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,X,
192,2026,2026-05-05,,,,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,,
192,2026,2026-05-05,,,,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,,
192,2026,2026-05-05,,,,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,,
192,2026,2026-05-05,,,,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,,
192,2026,2026-05-05,,,,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,X,
192,2026,2026-05-05,,,,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,,
192,2026,2026-05-05,,,,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,,
192,2026,2026-05-05,,,,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,X,
192,2026,2026-05-05,,,,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,,
192,2026,2026-05-05,,,,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,,
192,2026,2026-05-05,,,,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,X,
192,2026,2026-05-05,,,,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,,
192,2026,2026-05-05,,,,,X,X,X,X,X,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,X,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,,
192,2026,2026-05-05,,,,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,X,
192,2026,2026-05-05,,,,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,X,
192,2026,2026-05-05,,,,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,X,X,X,X,X,,
192,2026,2026-05-05,,,,,X,X,X,X,X,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
192,2026,2026-05-05,,X,X,,,,,,,,
192,2026,2026-05-05,,,,,,,,,,,
